Language name,Language family,Concept,Word written in corresponding language,Number of senses,Synonyms number,Sense_1,Sense_2,Sense_3,Sense_4,Sense_5,Sense_6,Sense_7,Sense_8,Sense_9,Sense_10,Sense_11,Sense_12,Sense_13,Sense_14,Sense_15,Sense_16,Sense_17,Sense_18,Sense_19,Sense_20,Sense_21,,,,
Basque,language isolate,black,beltz,11,0 ,Black,Cloudy,Dark,"Dejected,Dismal",Evil,Foreboding,Gloomy,Glum,In The Darkness,Ominous,Terrible,,,,,,,,,,,,,,
Basque,language isolate,blood,odol,2,0 ,Blood,Kinship,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,bone,hezur,4,0 ,Bone,Fishbone,Pit,Stone,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,cold,hotz,5,0 ,Cold,Coldly,Cool,"Indifferent,Unemotional,Insensitive",Tough,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,come,etorri,13,0 ,Agree,Character,Come,Come Along,Correspond,Fit,Flow,Happen,Inheritance,Inspiration,Interest(Money),Submit,Talent,,,,,,,,,,,,
Basque,language isolate,die,hil,10,0 ,Dead,Death,Die,Dim,Disappear,Dull,Go Out,Kill,Little,Stave Off,,,,,,,,,,,,,,,
Basque,language isolate,dog,txakur,1,0 ,Dog,,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,drink,edan,1,0 ,Drink,,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,ear,belarri,2,0 ,Buckle,Ear,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,earth_soil,lur,6,0 ,Earth,Floor,Ground,Land,Soil,World,,,,,,,,,,,,,,,,,,,
Basque,language isolate,eat,jan,5,0 ,Corrode,Eat,Feed,Food,Swallow,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,eye,begi,6,0 ,Arch,Eye,Have Entrance,Hole,Shoot,Sprout,,,,,,,,,,,,,,,,,,,
Basque,language isolate,fire,su,10,0 ,Anger,Battle,Bonfire,Burner,Fire,Flame,Heat,Home,Light,Violently,,,,,,,,,,,,,,,
Basque,language isolate,foot,zango,10,0 ,Abyss,Calf,Depth,Foot,Frame,Leg,Post,Shaft,Stem,Trunk,,,,,,,,,,,,,,,
Basque,language isolate,give,eman,10,0 ,Administer,Attendence,Crowd,Designate,Expense,Give,Inclination,Propensity,Set,Yield,,,,,,,,,,,,,,,
Basque,language isolate,go,joan,7,0 ,Drive,Go,Leave,Passage,Take,Take Away,Travel,,,,,,,,,,,,,,,,,,
Basque,language isolate,good,on,13,0 ,Beautiful,"Beneficial,Profitable",Charity,Favourable,"Fine, Nice",Good,Perfect,Possessions,Sense,"Suitable, Appropriate, Proper",Support,To Be Good,To Do Good,,,,,,,,,,,,
Basque,language isolate,hand,bosteko,1,0 ,Hand,,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,head,buru,10,0 ,Bedstead,Brain Or Mind,"Chief,Leader",End,Head,Memory,Origin,Pommel,Tip,Top,,,,,,,,,,,,,,,
Basque,language isolate,hear_listen,entzun,5,0 ,Attend,Go,Hear,Listen,Obey,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,heart,bihotz,5,0 ,Core,Darling,Encouragement,Heart,Inside,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,hot,bero,9,0 ,Ardent,Enthusiastic,Enthusiastically,Fever,Heat,Hot,Sultry,Warm,Warmly,,,,,,,,,,,,,,,,
Basque,language isolate,human,giza,1,0 ,Human,,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,I,ni,1,0 ,I,,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,long,luze,10,0 ,Duration,Extended,Generous,"High,Tall",Late,Length,Long,Prolonged,Slow,Stretched Out,,,,,,,,,,,,,,,
Basque,language isolate,man,gizon,3,0 ,Human,Man,Man'S,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,many,asko,7,0 ,Any Other,Extremely,Funny,Lots Of,Many,"Odd,Strange",Very,,,,,,,,,,,,,,,,,,
Basque,language isolate,moon,ilargi,1,0 ,Moon,,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,mouth,aho,8,0 ,Articulation,Blade,Crater,Edge,Entrance,Mouth,Oral,Taste,,,,,,,,,,,,,,,,,
Basque,language isolate,new,berri,6,0 ,Convert,Fresh,Freshly,New,News,Recently,,,,,,,,,,,,,,,,,,,
Basque,language isolate,night,gau,2,0 ,Night,Nocturnal,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,not,ez,4,0 ,Except,Neither,No,Not,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,old,zahar,3,0 ,Old,Old People,Stale,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,one,bat,2,0 ,"A,An",One,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,person,pertsona,1,0 ,Person,,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,rain,euri,1,0 ,Rain,,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,round,biribil,11,0 ,Ball,Categorical,Circle,Clearly,Complete,Plump,Ring,Round,Roundly,Spherical,Straightforward,,,,,,,,,,,,,,
Basque,language isolate,say,esan,4,0 ,Say,"Talk,Speak",Tell,Word,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,see_look,ikusi,11,0 ,Bear,Call On,Get,Glimpse,Go Though,Look,Pay Attention To,Realize,See,View,Visit,,,,,,,,,,,,,,
Basque,language isolate,sky,zeru,2,0 ,"Paradise,Heaven",Sky,,,,,,,,,,,,,,,,,,,,,,,
